;;;;;;;;;;;;x,,,,,,,
high_schools;高级中学;;;;;;;;;;;;x,,,,,,,
high_schools_desc;高中是向大众提供中等教育的机构;;;;;;;;;;;;x,,,,,,
scholarships;奖学金;;;;;;;;;;;;x,,,,,,,
scholarships_desc;奖学金的出现是人们给与成绩优秀的学生接受进一步教育的一个尝试，这样他们就不会因为经济上的原因而被高等学府拒之门外。这一举措使进入学院、大学进修的人群从精英阶层扩展到整个社会大众;;;;;;;;;;;;x,,,,,,
tulls_seed_drill;播种机;;;;;;;;;;;;x,,,,,,,
tulls_seed_drill_desc;直到现在，农夫们仍然会在春耕季节将谷物种子装在小袋子里，然后将它们一步步播撒到田地中。他们用手抓起种子，把它们散播进被犁与钉耙耕作过的土地里。这种方法的缺点是无法保证种子的平均播撒，实际很多种子都被白白浪费了，因此这种方法的效果并不好。杰思罗·塔尔发明了一种可以用马进行拖拽播种机。这种播种机像一辆装着轮子的马车，上面有一个装满了种子的箱子。当马匹拖拽着播种机行走时，播种机的齿轮装置便会将种子均匀地播撒在地里;;;;;;;;;;;;x,,,,
rotherham_plough;约克犁;;;;;;;;;;;;x,,,,,,,
rotherham_plough_desc;约克犁，是迪斯尼·斯坦福斯和约瑟夫·福佳比对传统犁进行的一次大改造。它和普通的犁一样用木头做成，但它的配件和犁刀（刀片）用铁做成，并且犁壁和犁头包有铁皮。它比传统犁轻巧，但一对马拉起来更容易;;;;;;;;;;;;x,,,,,,,
diode;二极管;;;;;;;;;;;;x,,,,,,,
diode_desc;在电子原件中，二极管是一种拥有两个电极的装置，当正向电流通过时，它电阻值较低（理论值为零），而当反向电流通过时，它电阻值则较高（理论值为无穷大）。在当时，二极管是第一个半导体电子原件;;;;;;;;;;;;x,,,,
triode;三极管;;;;;;;;;;;;x,,,,,,,
triode_desc;电子三极管是具有三个活性电极的电子放大器，通常指包含以下三要素的真空管：作为阴极的灯丝、作为栅极的线圈以及作为屏极的金属板。在当时，电子三极真空管是第一个电子放大器，以此为基础诞生了无线电放大技术和长途电话通信技术，推动了电子时代的进步;;;;;;;;;;;;x,,,
tetrode;四极管;;;;;;;;;;;;x,,,,,,,
tetrode_desc;电子四极管是拥有四个活性电极的电子原件，通常指拥有两个栅极的真空管。它具有电子三极管的三个电极以及一个额外的帘栅，增加的帘栅极大地改变了它的电学性能;;;;;;;;;;;;x,,,,,,,
crystal_radio;晶体收音机;;;;;;;;;;;;x,,,,,,,
crystal_radio_desc;晶体收音机，也被叫做矿石收音机、触须收音机，是一个结构非常简单的无线电接收设备，在无线电发展初期十分常见。它无需电池或其他电源，仅依靠长线天线接收到的无线电波就可以工作。它的名字源自于它最重要的组成零件——晶体检波器，其雏形正是一块晶体矿石，例如方铅矿;;;;;;;;;;;;x,,
valve_radio_sets;电子管收音机;;;;;;;;;;;;x,,,,,,,
valve_radio_sets_desc;在发现电子三极管可以放大信号以后，人们也很快注意到它在产生信号时具有的振荡效应。当电子三极管作为接收器的放大器使用时，它放大了接收信号，使无线电接收效果与未使用前有天壤之别。这极大地提高了接收器的接受能力和选择性，正因如此，装有电子三极管的机型成为了同类产品中的佼佼者;;;;;;;;;;;;x,,,,
carbon_transmitter;碳精送话器;;;;;;;;;;;;x,,,,,,,
carbon_transmitter_desc;在二十世纪二十年代真空管放大器广泛应用前，碳精送话器是当时捕捉高电平音频信号唯一的可行工具，在电话系统中应用很广。即便碳精送话器在其他应用领域中很快被其余的扩音器替代，它低成本、内置高输出以及无可比拟的高频率应答能力特性决定了它与电话系统中的绝佳相性，直至二十世纪八十年代新安装的电话仍在使用碳精送话器;;;;;;;;;;;;x,,
candlestick_telephone;烛台式电话机;;;;;;;;;;;;x,,,,,,,
candlestick_telephone_desc;在十九世纪九十年代到二十世纪三十年代，烛台式电话机十分常见。人们通常印象中的烛台式电话机是一个台架上竖直放置有棍状听筒，旋转拨号盘或有或无，装有振铃盒的通话设备;;;;;;;;;;;;x,,,
the_white_mans_burden;《白人的负担》;;;;;;;;;;;;x,,,,,,,
the_white_mans_burden_desc;《白人的负担》是英国诗人拉迪亚德·吉卜林在1899年所作的一首诗。这首诗读起来像是辞藻华丽的命令，出于对他国人民利益的考虑（人民与责任代表着标题中的“负担”），要求白人去殖民、统治其他国家，但作者亦通过展示帝国主义实行付出的代价来劝诫、警告帝国。因此，帝国主义者将“白人的负担”理解为描述帝国主义的诗篇，将将这一政策视为毕生奋斗的至高目标;;;;;;;;;;;;x,,,,,
indigenous_garrisoning;殖民地驻军;;;;;;;;;;;;x,,,,,,,
indigenous_garrisoning_desc;先进武器的出现，使开化民族的火力远远超越了未开化民族，这令派遣少数精锐驻军维持殖民地秩序成为可能——即便驻军只有当地住民千分之一的数量也是如此;;;;;;;;;;;;x,,,,,
well_drilled;优秀的军事指挥能力;;;;;;;;;;;;x,,,,,,,
well_drilled_desc;多亏了有相当数量训练有素的军官做后备，现在整个世界都十分羡慕我们拥有的军事组织;;;;;;;;;;;;x,,,,,,
drilled;不错的军事指挥能力;;;;;;;;;;;;x,,,,,,,
drilled_desc;作为我国中流砥柱的训练有素军官为我们的军事行动带来了巨大的优势;;;;;;;;;;;;x,,,,,,
poorly_drilled;差劲的军事指挥能力;;;;;;;;;;;;x,,,,,,,
poorly_drilled_desc;由于缺乏训练有素的军官，我们的军事组织现状堪忧;;;;;;;;;;;;x,,,,,,
undisciplined_mob;毫无纪律的暴民;;;;;;;;;;;;x,,,,,,,
undisciplined_mob_desc;由于几乎完全没有训练有素的军官，我们的军队已经成为了毫无纪律的暴民。;;;;;;;;;;;;x,,,,,,
family_values;家庭价值观;;;;;;;;;;;;x,,,,,,,
family_values_desc;新近提出的心理学理论进一步证实了家庭和睦的重要性;;;;;;;;;;;;x,,,,,,,
coal_power;燃煤发电;;;;;;;;;;;;x,,,,,,,
coal_power_desc;燃煤发电驱动的涡轮成为了西方工业化的主要推动力;;;;;;;;;;;;x,,,,,,
genetics_hereditary;遗传基因;;;;;;;;;;;;x,,,,,,,
genetics_hereditary_desc;理解了什么是遗传学以及其在生物特性中发挥的作用之后，医学有了长足的进步;;;;;;;;;;;;x,,,,,,,
bakery_power;面包店与磨坊;;;;;;;;;;;;x,,,,,,,
bakery_power_desc;通过利用自然的力量加工农产品，我国人民首创出商业消费文化;;;;;;;;;;;;x,,,,,,
combine_harvesters;联合动力;;;;;;;;;;;;x,,,,,,,
combine_harvesters_desc;自从乔治·斯托克顿·贝利将蒸汽机安装在联合收割机使用之后，工人的人均收割量有了极大的提高;;;;;;;;;;;;x,,,,,,
Armoured_fist_doctrine;装甲优先学说;;;;;;;;;;;;x,,,,,,,
Armoured_fist_doctrine_desc;如果坦克可以摧毁任何它所看到的目标，那它还需要那么快的逃跑吗？;;;;;;;;;;;;x,,,,,,,
home_rifle_smiths;家庭步枪作坊;;;;;;;;;;;;x,,,,,,,
home_rifle_smiths_desc;通过我们有限的实战经验，我们可以建立小规模的步枪作坊。;;;;;;;;;;;;x,,,,,,,
small_scale_riflemaking;小规模步枪制造;;;;;;;;;;;;x,,,,,,,
small_scale_riflemaking_desc;通过积累、传授战时经验，我们提高了军备产量;;;;;;;;;;;;x,,,,,,,
rifle_war_experience;步枪战争经验;;;;;;;;;;;;x,,,,,,,
rifle_war_experience_desc;借助大量战争经验，相比于那些并不尚武的国家，我国拥有更高的武器生产效率;;;;;;;;;;;;x,,,,,,,
advanced_riflemaking;先进步枪制造;;;;;;;;;;;;x,,,,,,,
advanced_riflemaking_desc;我们改进后的轻武器堪比艺术品;;;;;;;;;;;;x,,,,,,,
improved_artillery_manufacturing;改进火炮制造技术;;;;;;;;;;;;x,,,,,,,
improved_artillery_manufacturing_desc;火炮的制造工艺改进;;;;;;;;;;;;x,,,,,,
practical_artillery_experience;实践炮兵经验;;;;;;;;;;;;x,,,,,,,
practical_artillery_experience_desc;看到了吗，炮口要冲着他们，而不是自己！;;;;;;;;;;;;x,,,,,
advanced_target_practice;先进靶位;;;;;;;;;;;;x,,,,,,,
advanced_target_practice_desc;开火！;;;;;;;;;;;;x,,,,,,,
heavy_artillery_making;重型火炮生产技术;;;;;;;;;;;;x,,,,,,,
heavy_artillery_making_desc;更大，更好，更多。;;;;;;;;;;;;x,,,,,,,
basic_ship_building_R&D;基本船舶研究所;;;;;;;;;;;;x,,,,,,,
basic_ship_building_R&D_desc;早期的生产技术得到了船舶研究发展的支持;;;;;;;;;;;;x,,,,,,,
School_of_manuever;机动学派;;;;;;;;;;;;x,,,,,,,
School_of_manuever_desc;坦克战的出现诞生了一个新学派，他们认为闪电般的移动速度与绝佳的地理位置会带领部队取得战争的胜利;;;;;;;;;;;;x,,,,,,,
School_of_firepower;火力学派;;;;;;;;;;;;x,,,,,,,
school_of_firepower_desc;现代化武器装备那令人惊叹的杀伤力进一步证实了火力学派的存在意义;;;;;;;;;;;;x,,,,,,,
improved_ship_building_R&D;先进船舶研究所;;;;;;;;;;;;x,,,,,,,
improved_ship_building_R&D_desc;战事的升级也伴随着补给生产的进步;;;;;;;;;;;;x,,,,,,,
late_colonial_ships;改进型殖民船;;;;;;;;;;;;x,,,,,,,
late_colonial_ships_desc;船只行驶距离的不断增加对补给品生产方法提出了新的要求;;;;;;;;;;;;x,,,,,,,
early_modern_oil_ship;早期现代油轮;;;;;;;;;;;;x,,,,,,,
early_modern_oil_ship_desc;动态加油的新进展很快就被补给品生产的新突破所替代;;;;;;;;;;;;;;;;;;;;;;;;x,,,,,,
ship_artillery_making;船用大炮制造;;;;;;;;;;;;x,,,,,,,
ship_artillery_making_desc;战事对于加农炮的大量需求最终促进了整个大炮生产的发展;;;;;;;;;;;;;;;;;;;;;;;;x,,,,,,
ship_cannon_building;船用大炮研究所;;;;;;;;;;;;x,,,,,,,
ship_cannon_building_desc;随着海军装备越发强大，制造的方法也变得多种多样;;;;;;;;;;;;x,,,,,,
late_colonial_armaments_industry;晚期殖民地军火工业;;;;;;;;;;;;x,,,,,,,
late_colonial_armaments_industry_desc;殖民探险依赖于武器生产，然而常规生产流程常常无法满足这一需要。因此，新的生产方法应运而生;;;;;;;;;;;;x,,,,,
modern_armaments_industry;现代军火工业;;;;;;;;;;;;x,,,,,,,
modern_armaments_industry_desc;现代军备行业觉察到武器生产可以带来高额利润;;;;;;;;;;;;x,,,,,,,
private_coin_issuance;私人钱币发行;;;;;;;;;;;;x,,,,,,,
private_coin_issuance_desc;小面额硬币的铸造能够更好地利用金及其他贵重金属;;;;;;;;;;;;x,,,,,,,
private_mints;私人造币厂;;;;;;;;;;;;x,,,,,,,
private_mints_desc;银行开始发行自己铸造的金币、银币;;;;;;;;;;;;x,,,,,,,
gold_backed_notes;黄金抵押债券;;;;;;;;;;;;x,,,,,,,
gold_backed_notes_desc;如果你可以使用等价于保险箱中金子价值的债券，那还用得着携带笨重的金币到处跑吗？债券也可以让我们进一步发挥黄金储备的金融杠杆作用;;;;;;;;;;;;x,,,,,,,
inflationary_measures;通胀措施;;;;;;;;;;;;x,,,,,,,
inflationary_measures_desc;随着我国货币发行量的增加，通货膨胀也越来越经常;;;;;;;;;;;;x,,,,,,,
cheap_retirement_planning;廉价退休计划;;;;;;;;;;;;x,,,,,,,
cheap_retirement_planning_desc;正如孩子是祖国的希望一样，你的退休保险也一样;;;;;;;;;;;;x,,,,,,,
family_values;家庭价值观;;;;;;;;;;;;x,,,,,,,
family_values_desc;新近提出的心理学理论进一步证实了家庭和睦的重要性;;;;;;;;;;;;x,,,,,,,
coal_power;燃煤发电;;;;;;;;;;;;x,,,,,,,
coal_power_desc;燃煤发电驱动的涡轮成为了西方工业化的主要推动力;;;;;;;;;;;;x,,,,,,
genetics_hereditary;遗传基因;;;;;;;;;;;;x,,,,,,,
genetics_hereditary_desc;理解了什么是遗传学以及其在生物特性中发挥的作用之后，医学有了长足的进步;;;;;;;;;;;;x,,,,,,,
bakery_power;面包店与磨坊;;;;;;;;;;;;x,,,,,,,
bakery_power_desc;通过利用自然的力量加工农产品，我国人民首创出商业消费文化;;;;;;;;;;;;x,,,,,,
combine_harvesters;联合动力;;;;;;;;;;;;x,,,,,,,
combine_harvesters_desc;自从乔治·斯托克顿·贝利将蒸汽机安装在联合收割机使用之后，工人的人均收割量有了极大的提高;;;;;;;;;;;;x,,,,,,
horse_artillery_desc;现代火炮的一个缺点就是太过笨重以致移动缓慢，为了提高火炮部队的机动性，他们的火力势被人为地降低了。在很多军事家眼中，火炮机动性的增强，可以让它更快地投入前线战斗，这一点远远胜过降低火力所做的小让步;;;;;;;;;;;;x,,,,
wineries;酿酒厂;;;;;;;;;;;;x,,,,,,,
wineries_desc;这里所说的，不是那些当地的小型酒厂，而是指那些一天就有上千瓶产量的大型酒厂。玻璃和水果是它们必需的生产原料;;;;;;;;;;;;x,,,,,,
boxers;义和团;;;;;;;;;;;;x,,,,,,,
boxers_desc;拳乱，也称义和团运动，是中国义和团发起的反对外国帝国主义和基督教的原民族主义运动。在它的影响下，人民大众开始反抗外来势力的种种行径，从贩卖鸦片到经济操纵、传教布道，最终义和团运动引发了极具组织性的叛乱;;;;;;;;;;;;x,,,
power_of_tradition;传统的力量;;;;;;;;;;;;x,,,,,,,
power_of_tradition_desc;拳乱，也称义和团运动，是中国义和团发起的反对外国帝国主义和基督教的原民族主义运动。在它的影响下，人民大众开始反抗外来势力的种种行径，从贩卖鸦片到经济操纵、传教布道，最终义和团运动引发了极具组织性的叛乱;;;;;;;;;;;;x,,,,,
self_determination;民族自决权;;;;;;;;;;;;x,,,,,,,
self_determination_desc;屈服于他国君主的意志，会让人民摒弃前嫌，联合起来反对外族的统治，迫不得已的话人们甚至会起义，用暴力的方式建立一个自由的政府，进而解决以往的民族内部纠纷;;;;;;;;;;;;x,,,,
turkish_nationalism;土耳其民族主义;;;;;;;;;;;;x,,,,,,,
turkish_nationalism_desc;由“土耳其青年团”所倡导的土耳其民族主义极大地鼓舞、赞颂了整个奥斯曼帝国的土耳其人民，它的核心思想就是要求人民将对国家的热忱置于其他理念之上——就算是宗教信仰也不例外;;;;;;;;;;;;x,,,,,
x_rays;X射线;;;;;;;;;;;;;x,,,,,,,
vassal_nation;附庸国;;;;;;;;;;;;x,,,,,,,
vassal_nation_desc;作为一个外国势力的附庸国，在世界的眼中我们永远都是个二等国。;;;;;;;;;;;;x,,,,,,
basic_training;基本训练;;;;;;;;;;;;x,,,,,,,
basic_training_desc;每个国家都有训练新兵加入军队的过程，但是对这一过程的改进不仅使新兵训练得更快，同时提高了训练的整体质量。;;;;;;;;;;;;x,,,,,,
flintlock_pistoliers;燧发手枪骑兵;;;;;;;;;;;;x,,,,,,,
flintlock_pistoliers_desc;尽管现代骑兵的主要优势是机动性与速度，这一兵种还是在装备了现代武器后变得更加出色了，因此将比以前更加适合于发挥进攻能力。;;;;;;;;;;;;x,,,,,,
rosendale_cement;罗森代尔水泥;;;;;;;;;;;;x,,,,,,,
rosendale_cement_desc;罗森代尔水泥通常是指在纽约罗森代尔周边利用泥质灰岩生产的天然水泥，但这一名词在不同年代也有着不同的定义。与石灰与砂土制成的灰浆相比，这种快速固化的罗森代尔天然水泥灰浆被证实拥有更优秀的性能。由于它口碑载道，罗森代尔水泥后来也被用作商品名称，指那些由其他地方所生产的的天然液压水泥;;;;;;;;;;;;x",,,,
synthetic_cement;合成水泥;;;;;;;;;;;;x,,,,,,,
synthetic_cement_desc;“天然”水泥，指那些并未使用化学手段提高耐用性的水泥。随着现代混凝土的生产，“天然”水泥逐渐淡出使用。众多合成水泥品牌的上市最终促进了建筑行业的快速发展;;;;;;;;;;;;x,,,,,
the_decline_of_the_west_and_the_lost_generation_desc;十九世纪，社会、经济、政治领域发生了翻天覆地的变化，同时伴随的工业崛起以及大规模战争所带来的破坏，让诸多知识分子感受到了信任危机，他们认为整个社会结构正处于诸多不利因素的围困之中，陷入濒临崩溃的威胁。奥斯瓦尔德·斯宾格勒认识到新的社会政治经济力量正在撼动工业化社会的支柱，于是他在1911年着手撰写《西方的没落》，结论中阐释了目前社会的诸多经历正是文明崛起自然周期中的一部分。维多里亚思想认为现代工业社会将在人类理性思考的作用下持续发展，而斯宾格勒的观点则与之针锋相对。由美国作家格特鲁德·斯泰因创立的学派“迷惘的一代”，则捕捉到老兵荣归故里以后，在对曾经激励自己投身一线战斗的价值观、信仰反思的过程中内心涌现出的空虚与落寞。这些由斯宾格勒、沃尔夫所创立的有关衰落、消亡的主题最终成为了二十世纪早期文化领域的主宰;;;;;;;;;;;;x,
the_dark_continent;黑暗大陆;;;;;;;;;;;;x,,,,,,,
the_dark_continent_desc;在探险非洲之前，由于缺乏对非洲内陆的了解，人们将其称为“黑暗大陆”。这片拥有茂密雨林和荒凉地域的土地仿若无人之境，仅有一些尚未开化的原住民。在殖民主义的号召下，越来越多人开始投身于非洲探险中，一瞬间，曾经被认为是天方夜谭的非洲殖民计划立刻被提上了日程;;;;;;;;;;;;x,,,,
vangaurd_party;先锋党;;;;;;;;;;;;x,,,,,,,
mixed_economy_desc;混合经济是一种公私混合经济系统，它反映出市场经济与计划经济两者的特性。大多数的混合经济可以说是处于强力监管下的市场经济，它的特点是拥有诸多国有企业以及政府提供的公共物品;;;;;;;;;;;;x,,,,,
Schwerpunkt;重点突破战术;;;;;;;;;;;;x,,,,,,,
Schwerpunkt_desc;重点突破战术是指集中全力有重点的行动，从而达成既定目标的战术。不论何时，只要有可以调动的陆军、机械化部队和空军，都会集中全力打击目标。采取重点突破战术取得局部战场胜利证明小股部队也可以成功突破敌军防线，从而取得作战优势。古德里安曾经将这一学说总结为“只准集中，不许分散！”;;;;;;;;;;;;x,,
nylon;尼龙;;;;;;;;;;;;x,,,,,,,
nylon_desc;在二战发生丝绸短缺的情况后，尼龙有望成为丝绸及其相关产品的合成替代品。像降落伞、防弹背心和载具轮胎等的军事用品的制作开始逐渐放弃丝绸，而转为使用尼龙。;;;;;;;;;;;;x,,,,,,,
scientific_forestry;科学林业;;;;;;;;;;;;x,,,,,,,
scientific_forestry_desc;使用普鲁士模式的科学林业允许政府通过对森林资源的分类与管理来规范与预测木材生产。;;;;;;;;;;;;x,,,,,,,
